market_slug,market_duration,first_ts,last_ts,rows,conditions,split,market_start_ms,market_end_ms
btc-updown-15m-1789791300,15m,1789791301538,1789792199428,1708,1,train,1789791300000,1789792200000
btc-updown-5m-1789791600,5m,1789791604341,1789791890009,542,1,train,1789791600000,1789791900000
btc-updown-5m-1789791900,5m,1789791901262,1789792199969,572,1,train,1789791900000,1789792200000
btc-updown-15m-1789792200,15m,1789792200589,1789793099700,1674,1,train,1789792200000,1789793100000
btc-updown-5m-1789792200,5m,1789792201332,1789792474525,484,1,train,1789792200000,1789792500000
btc-updown-5m-1789792500,5m,1789792501561,1789792781340,518,1,train,1789792500000,1789792800000
btc-updown-5m-1789792800,5m,1789792802152,1789793099615,548,1,train,1789792800000,1789793100000
btc-updown-5m-1789793100,5m,1789793100616,1789793394165,556,1,train,1789793100000,1789793400000
btc-updown-15m-1789793100,15m,1789793100705,1789793928949,1576,1,train,1789793100000,1789794000000
btc-updown-5m-1789793400,5m,1789793404736,1789793699288,566,1,train,1789793400000,1789793700000
btc-updown-5m-1789793700,5m,1789793702496,1789793988718,548,1,train,1789793700000,1789794000000
btc-updown-15m-1789794000,15m,1789794001223,1789794899322,1718,1,train,1789794000000,1789794900000
btc-updown-5m-1789794000,5m,1789794005058,1789794293967,558,1,train,1789794000000,1789794300000
btc-updown-5m-1789794300,5m,1789794304763,1789794526720,422,1,train,1789794300000,1789794600000
btc-updown-5m-1789794600,5m,1789794600654,1789794839674,460,1,train,1789794600000,1789794900000
btc-updown-5m-1789794900,5m,1789794901464,1789795199232,572,1,train,1789794900000,1789795200000
btc-updown-15m-1789794900,15m,1789794902260,1789795799194,1710,1,train,1789794900000,1789795800000
btc-updown-5m-1789795200,5m,1789795201016,1789795487837,546,1,train,1789795200000,1789795500000
btc-updown-5m-1789795500,5m,1789795503907,1789795748812,468,1,train,1789795500000,1789795800000
btc-updown-5m-1789795800,5m,1789795800560,1789796099074,574,1,train,1789795800000,1789796100000
btc-updown-15m-1789795800,15m,1789795801370,1789796699351,1716,1,train,1789795800000,1789796700000
btc-updown-5m-1789796100,5m,1789796101426,1789796349913,474,1,train,1789796100000,1789796400000
btc-updown-5m-1789796400,5m,1789796403032,1789796694706,554,1,train,1789796400000,1789796700000
btc-updown-5m-1789796700,5m,1789796701187,1789796999889,574,1,train,1789796700000,1789797000000
btc-updown-15m-1789796700,15m,1789796701648,1789797599045,1710,1,train,1789796700000,1789797600000
btc-updown-5m-1789797000,5m,1789797000945,1789797299553,568,1,train,1789797000000,1789797300000
btc-updown-5m-1789797300,5m,1789797300617,1789797599572,570,1,train,1789797300000,1789797600000
btc-updown-5m-1789797600,5m,1789797600653,1789797897324,566,1,train,1789797600000,1789797900000
btc-updown-15m-1789797600,15m,1789797601067,1789798499934,1714,1,train,1789797600000,1789798500000
btc-updown-5m-1789797900,5m,1789797903109,1789798191228,552,1,train,1789797900000,1789798200000
btc-updown-5m-1789798200,5m,1789798202296,1789798475292,506,1,train,1789798200000,1789798500000
btc-updown-5m-1789798500,5m,1789798500547,1789798799315,570,1,train,1789798500000,1789798800000
btc-updown-15m-1789798500,15m,1789798500982,1789799399967,1706,1,train,1789798500000,1789799400000
btc-updown-5m-1789798800,5m,1789798800395,1789799099994,576,1,train,1789798800000,1789799100000
btc-updown-5m-1789799100,5m,1789799101812,1789799399946,566,1,train,1789799100000,1789799400000
btc-updown-15m-1789799400,15m,1789799400984,1789800299632,1722,1,train,1789799400000,1789800300000
btc-updown-5m-1789799400,5m,1789799401051,1789799624832,428,1,train,1789799400000,1789799700000
btc-updown-5m-1789799700,5m,1789799701523,1789799999122,576,1,train,1789799700000,1789800000000
btc-updown-5m-1789800000,5m,1789800000590,1789800299328,574,1,train,1789800000000,1789800300000
btc-updown-5m-1789800300,5m,1789800300343,1789800552668,482,1,train,1789800300000,1789800600000
btc-updown-15m-1789800300,15m,1789800302030,1789801199261,1714,1,train,1789800300000,1789801200000
btc-updown-5m-1789800600,5m,1789800602229,1789800899560,566,1,train,1789800600000,1789800900000
btc-updown-5m-1789800900,5m,1789800901886,1789801199972,566,1,train,1789800900000,1789801200000
btc-updown-15m-1789801200,15m,1789801201259,1789802037697,1606,1,train,1789801200000,1789802100000
btc-updown-5m-1789801200,5m,1789801201547,1789801499675,494,1,train,1789801200000,1789801500000
btc-updown-5m-1789801500,5m,1789801501624,1789801789211,550,1,train,1789801500000,1789801800000
btc-updown-5m-1789801800,5m,1789801804742,1789802043603,460,1,train,1789801800000,1789802100000
btc-updown-5m-1789802100,5m,1789802101663,1789802399977,386,1,train,1789802100000,1789802400000
btc-updown-15m-1789802100,15m,1789802101838,1789802949419,1598,1,train,1789802100000,1789803000000
btc-updown-5m-1789802400,5m,1789802401448,1789802699730,570,1,train,1789802400000,1789802700000
btc-updown-5m-1789802700,5m,1789802701782,1789802986755,544,1,train,1789802700000,1789803000000
btc-updown-15m-1789803000,15m,1789803001116,1789803893153,1698,1,train,1789803000000,1789803900000
btc-updown-5m-1789803000,5m,1789803003217,1789803299927,568,1,train,1789803000000,1789803300000
btc-updown-5m-1789803300,5m,1789803300938,1789803599022,572,1,train,1789803300000,1789803600000
btc-updown-5m-1789803600,5m,1789803601895,1789803899630,570,1,train,1789803600000,1789803900000
btc-updown-5m-1789803900,5m,1789803900651,1789804188210,554,1,train,1789803900000,1789804200000
btc-updown-15m-1789803900,15m,1789803904538,1789804799842,1704,1,train,1789803900000,1789804800000
btc-updown-5m-1789804200,5m,1789804204061,1789804495003,550,1,train,1789804200000,1789804500000
btc-updown-5m-1789804500,5m,1789804500711,1789804799904,572,1,train,1789804500000,1789804800000
btc-updown-5m-1789804800,5m,1789804801074,1789805047655,474,1,train,1789804800000,1789805100000
btc-updown-15m-1789804800,15m,1789804801330,1789805699566,1712,1,train,1789804800000,1789805700000
btc-updown-5m-1789805100,5m,1789805101430,1789805399509,566,1,train,1789805100000,1789805400000
btc-updown-5m-1789805400,5m,1789805401119,1789805685589,540,1,train,1789805400000,1789805700000
btc-updown-5m-1789805700,5m,1789805701457,1789805980371,514,1,train,1789805700000,1789806000000
btc-updown-15m-1789805700,15m,1789805702241,1789806599295,1660,1,train,1789805700000,1789806600000
btc-updown-5m-1789806000,5m,1789806001440,1789806229096,404,1,train,1789806000000,1789806300000
btc-updown-5m-1789806300,5m,1789806301875,1789806572605,488,1,train,1789806300000,1789806600000
btc-updown-15m-1789806600,15m,1789806601367,1789807499736,1700,1,train,1789806600000,1789807500000
btc-updown-5m-1789806600,5m,1789806601690,1789806899579,568,1,train,1789806600000,1789806900000
btc-updown-5m-1789806900,5m,1789806900622,1789807199229,558,1,train,1789806900000,1789807200000
btc-updown-5m-1789807200,5m,1789807201097,1789807499965,574,1,train,1789807200000,1789807500000
btc-updown-5m-1789807500,5m,1789807500980,1789807799334,574,1,train,1789807500000,1789807800000
btc-updown-15m-1789807500,15m,1789807501551,1789808373305,1646,1,train,1789807500000,1789808400000
btc-updown-5m-1789807800,5m,1789807800889,1789808091756,556,1,train,1789807800000,1789808100000
btc-updown-5m-1789808100,5m,1789808102847,1789808399222,566,1,train,1789808100000,1789808400000
btc-updown-5m-1789808400,5m,1789808400434,1789808699321,576,1,validation,1789808400000,1789808700000
btc-updown-15m-1789808400,15m,1789808401130,1789809299041,1698,1,validation,1789808400000,1789809300000
btc-updown-5m-1789808700,5m,1789808700780,1789808951992,468,1,validation,1789808700000,1789809000000
btc-updown-5m-1789809000,5m,1789809001616,1789809246872,468,1,validation,1789809000000,1789809300000
btc-updown-15m-1789809300,15m,1789809300330,1789810199012,1704,1,validation,1789809300000,1789810200000
btc-updown-5m-1789809300,5m,1789809300776,1789809591364,552,1,validation,1789809300000,1789809600000
btc-updown-5m-1789809600,5m,1789809602547,1789809899610,448,1,validation,1789809600000,1789809900000
btc-updown-5m-1789809900,5m,1789809900633,1789810141090,458,1,validation,1789809900000,1789810200000
btc-updown-15m-1789810200,15m,1789810200931,1789811099790,1690,1,validation,1789810200000,1789811100000
btc-updown-5m-1789810200,5m,1789810201065,1789810442961,456,1,validation,1789810200000,1789810500000
btc-updown-5m-1789810500,5m,1789810501077,1789810795803,556,1,validation,1789810500000,1789810800000
btc-updown-5m-1789810800,5m,1789810801634,1789811099515,562,1,validation,1789810800000,1789811100000
btc-updown-15m-1789811100,15m,1789811100845,1789811999465,1718,1,validation,1789811100000,1789812000000
btc-updown-5m-1789811100,5m,1789811101686,1789811375799,500,1,validation,1789811100000,1789811400000
btc-updown-5m-1789811400,5m,1789811401435,1789811699446,570,1,validation,1789811400000,1789811700000
btc-updown-5m-1789811700,5m,1789811701775,1789811977472,520,1,validation,1789811700000,1789812000000
btc-updown-5m-1789812000,5m,1789812000990,1789812271900,496,1,validation,1789812000000,1789812300000
btc-updown-15m-1789812000,15m,1789812001286,1789812895961,1698,1,validation,1789812000000,1789812900000
btc-updown-5m-1789812300,5m,1789812301383,1789812599149,564,1,validation,1789812300000,1789812600000
btc-updown-5m-1789812600,5m,1789812601109,1789812887516,550,1,validation,1789812600000,1789812900000
btc-updown-15m-1789812900,15m,1789812901421,1789813799561,1704,1,validation,1789812900000,1789813800000
btc-updown-5m-1789812900,5m,1789812904077,1789813199059,570,1,validation,1789812900000,1789813200000
btc-updown-5m-1789813200,5m,1789813200759,1789813486209,544,1,validation,1789813200000,1789813500000
btc-updown-5m-1789813500,5m,1789813502552,1789813799843,556,1,validation,1789813500000,1789813800000
btc-updown-5m-1789813800,5m,1789813800983,1789814087060,548,1,validation,1789813800000,1789814100000
btc-updown-15m-1789813800,15m,1789813801912,1789814637194,1600,1,validation,1789813800000,1789814700000
btc-updown-5m-1789814100,5m,1789814103524,1789814396348,562,1,validation,1789814100000,1789814400000
btc-updown-5m-1789814400,5m,1789814402641,1789814693310,554,1,validation,1789814400000,1789814700000
btc-updown-15m-1789814700,15m,1789814701039,1789815599101,1700,1,validation,1789814700000,1789815600000
btc-updown-5m-1789814700,5m,1789814704084,1789814999794,570,1,validation,1789814700000,1789815000000
btc-updown-5m-1789815000,5m,1789815000835,1789815296658,570,1,validation,1789815000000,1789815300000
btc-updown-5m-1789815300,5m,1789815302042,1789815543092,458,1,validation,1789815300000,1789815600000
btc-updown-15m-1789815600,15m,1789815600450,1789816499855,1708,1,validation,1789815600000,1789816500000
btc-updown-5m-1789815600,5m,1789815602072,1789815887007,546,1,validation,1789815600000,1789815900000
btc-updown-5m-1789815900,5m,1789815903471,1789816132509,438,1,validation,1789815900000,1789816200000
btc-updown-5m-1789816200,5m,1789816200749,1789816499738,574,1,validation,1789816200000,1789816500000
btc-updown-5m-1789816500,5m,1789816501050,1789816725234,430,1,validation,1789816500000,1789816800000
btc-updown-15m-1789816500,15m,1789816501753,1789817399149,1722,1,validation,1789816500000,1789817400000
btc-updown-5m-1789816800,5m,1789816801474,1789817081459,530,1,validation,1789816800000,1789817100000
btc-updown-5m-1789817100,5m,1789817102768,1789817399113,570,1,validation,1789817100000,1789817400000
btc-updown-15m-1789817400,15m,1789817401644,1789818299116,1714,1,validation,1789817400000,1789818300000
btc-updown-5m-1789817400,5m,1789817401776,1789817676025,504,1,validation,1789817400000,1789817700000
btc-updown-5m-1789817700,5m,1789817701424,1789817981905,530,1,validation,1789817700000,1789818000000
btc-updown-5m-1789818000,5m,1789818002972,1789818299990,562,1,validation,1789818000000,1789818300000
btc-updown-15m-1789818300,15m,1789818301006,1789819199857,1724,1,validation,1789818300000,1789819200000
btc-updown-5m-1789818300,5m,1789818301028,1789818599186,574,1,validation,1789818300000,1789818600000
btc-updown-5m-1789818600,5m,1789818601680,1789818899809,576,1,validation,1789818600000,1789818900000
btc-updown-5m-1789818900,5m,1789818902220,1789819199819,570,1,validation,1789818900000,1789819200000
btc-updown-15m-1789819200,15m,1789819201747,1789820099160,1712,1,validation,1789819200000,1789820100000
btc-updown-5m-1789819200,5m,1789819201766,1789819499315,566,1,validation,1789819200000,1789819500000
btc-updown-5m-1789819500,5m,1789819501824,1789819799595,568,1,validation,1789819500000,1789819800000
btc-updown-5m-1789819800,5m,1789819801255,1789820099839,568,1,validation,1789819800000,1789820100000
btc-updown-5m-1789820100,5m,1789820100854,1789820381468,528,1,validation,1789820100000,1789820400000
btc-updown-15m-1789820100,15m,1789820100978,1789820897715,1524,1,validation,1789820100000,1789821000000
btc-updown-5m-1789820400,5m,1789820402879,1789820699251,566,1,validation,1789820400000,1789820700000
btc-updown-5m-1789820700,5m,1789820701664,1789821000142,570,1,validation,1789820700000,1789821000000
btc-updown-5m-1789821000,5m,1789821001157,1789821271619,494,1,validation,1789821000000,1789821300000
btc-updown-15m-1789821000,15m,1789821001609,1789821852661,1634,1,validation,1789821000000,1789821900000
btc-updown-5m-1789821300,5m,1789821300402,1789821599612,574,1,validation,1789821300000,1789821600000
btc-updown-5m-1789821600,5m,1789821602152,1789821894921,564,1,validation,1789821600000,1789821900000
btc-updown-5m-1789821900,5m,1789821901247,1789822127024,436,1,validation,1789821900000,1789822200000
btc-updown-15m-1789821900,15m,1789821901581,1789822799544,1714,1,validation,1789821900000,1789822800000
btc-updown-5m-1789822200,5m,1789822204735,1789822499961,562,1,validation,1789822200000,1789822500000
btc-updown-5m-1789822500,5m,1789822501010,1789822799516,574,1,validation,1789822500000,1789822800000
btc-updown-5m-1789822800,5m,1789822800914,1789823099510,568,1,validation,1789822800000,1789823100000
btc-updown-15m-1789822800,15m,1789822801236,1789823573924,1470,1,oos,1789822800000,1789823700000
btc-updown-5m-1789823100,5m,1789823101653,1789823393168,552,1,oos,1789823100000,1789823400000
btc-updown-5m-1789823400,5m,1789823404104,1789823699278,564,1,oos,1789823400000,1789823700000
btc-updown-5m-1789823700,5m,1789823700347,1789823991844,556,1,oos,1789823700000,1789824000000
btc-updown-15m-1789823700,15m,1789823701906,1789824599314,1714,1,oos,1789823700000,1789824600000
btc-updown-5m-1789824000,5m,1789824003134,1789824254939,484,1,oos,1789824000000,1789824300000
btc-updown-5m-1789824300,5m,1789824301133,1789824599731,572,1,oos,1789824300000,1789824600000
btc-updown-15m-1789824600,15m,1789824600763,1789825450258,1626,1,oos,1789824600000,1789825500000
btc-updown-5m-1789824600,5m,1789824601198,1789824899577,568,1,oos,1789824600000,1789824900000
btc-updown-5m-1789824900,5m,1789824901277,1789825199474,570,1,oos,1789824900000,1789825200000
btc-updown-5m-1789825200,5m,1789825200476,1789825499456,574,1,oos,1789825200000,1789825500000
btc-updown-5m-1789825500,5m,1789825500605,1789825799535,574,1,oos,1789825500000,1789825800000
btc-updown-15m-1789825500,15m,1789825500981,1789826399797,1712,1,oos,1789825500000,1789826400000
btc-updown-5m-1789825800,5m,1789825800845,1789826100382,568,1,oos,1789825800000,1789826100000
btc-updown-5m-1789826100,5m,1789826101574,1789826335174,446,1,oos,1789826100000,1789826400000
btc-updown-5m-1789826400,5m,1789826401289,1789826700003,574,1,oos,1789826400000,1789826700000
btc-updown-15m-1789826400,15m,1789826402162,1789827299295,1698,1,oos,1789826400000,1789827300000
btc-updown-5m-1789826700,5m,1789826701047,1789826996587,542,1,oos,1789826700000,1789827000000
btc-updown-5m-1789827000,5m,1789827002584,1789827299827,568,1,oos,1789827000000,1789827300000
btc-updown-15m-1789827300,15m,1789827301394,1789827985546,1292,1,oos,1789827300000,1789828200000
btc-updown-5m-1789827300,5m,1789827301423,1789827579828,520,1,oos,1789827300000,1789827600000
btc-updown-5m-1789827600,5m,1789827600664,1789827881292,518,1,oos,1789827600000,1789827900000
btc-updown-5m-1789827900,5m,1789827902113,1789828198520,564,1,oos,1789827900000,1789828200000
btc-updown-15m-1789828200,15m,1789828201653,1789829099228,1694,1,oos,1789828200000,1789829100000
btc-updown-5m-1789828200,5m,1789828204874,1789828499062,544,1,oos,1789828200000,1789828500000
btc-updown-5m-1789828500,5m,1789828501936,1789828715622,408,1,oos,1789828500000,1789828800000
btc-updown-5m-1789828800,5m,1789828801416,1789829050914,474,1,oos,1789828800000,1789829100000
btc-updown-5m-1789829100,5m,1789829101098,1789829347282,472,1,oos,1789829100000,1789829400000
btc-updown-15m-1789829100,15m,1789829101112,1789829997502,1700,1,oos,1789829100000,1789830000000
btc-updown-5m-1789829400,5m,1789829401680,1789829699714,566,1,oos,1789829400000,1789829700000
btc-updown-5m-1789829700,5m,1789829700821,1789829945578,464,1,oos,1789829700000,1789830000000
